movieId,name,alias,actors,directors,doubanScore,genres,languages,mins,regions,storyline,tags,year,genres_list
30405087,火口的两人,火口秘情,柄本佑/泷内公美,荒井晴彦,0.0,爱情,日语,0,日本,荒井晴彦第三部导演作品<火口的两人>官方情报解禁。,日本/日本电影/2019/爱情/情色/荒井晴彦/工口/漫画小说真人版,2019,True
30378898,我们的爱情,,戴韩安妮/刘冠男/马卉/陈亮,汪小白,0.0,爱情,汉语普通话,89,中国大陆,已婚男人何慕洋（刘冠男 饰）在意外邂逅女记者任梦（戴韩安妮 饰）后，坠入了爱河。妻子江欣非常伤心，何慕洋在婚姻与情感之间的纠缠也身心俱疲，事业更是遭遇了严重危机。最终任梦选择了离开，何慕洋也重新回归到了家庭。,爱情/唯美/人性/2019/大陆/烂片/剧情/中国大陆,2019,True
30409865,我是官兵你是贼,,张景迪/张浩宇/刘倍玲/梁月军,傅保中 Baozhong Fu,0.0,剧情/喜剧,汉语普通话,72,中国大陆,冯二八为还赌债被迫当贼，偷了一幅“古画”，在卖画过程中误入片场，被好友李五七说服在一部微电影中客串，一个演兵，一个演贼。碰巧联防员到片场检查安全，冯二八“做贼心虚”越演越乱，最终将一部喜剧演成了悲剧。,心灵救赎/剧情/黑色幽默/男主很帅，女主漂亮。/现实主义题材/网络电影/烂片/大陆,2019,True
30411572,史酷比与第13个幽灵的诅咒,,马修·里沃德/凯特·米库奇/格蕾·德丽斯勒/弗兰克·维尔克/莫里斯·拉马奇/苏珊·布卢,,0.0,动画,英语,90,美国,拙劣案件后，神秘公司退出解决犯罪问题。当Vincent Van Ghoul联系该团伙关于Daphne，Shaggy和Scooby过去未完成的调查时，该团伙开始采取行动完成这项工作，该工作涉及从恶魔之胸中逃脱并仍在逃的第13个幽灵。,喜剧/动画/美国/电影/冒险,2019,True
30377785,蜻蜓少年,童心似火,胡凯翔/胡凯浩/李力持/吴晶/陈康/吴丹/彭电平/陈家伟/陈新莲/陈智/樊琵琵/雷茂财/晏俊/于志勇,陈志敏,0.0,剧情/儿童,汉语普通话,93,中国大陆,暑假，十二岁的双胞胎凯文凯武央求母亲给他们买新自行车。他们骑着新自行车带着同村小孩兴奋地在路上飞驰，结果遇上了邻村的康康，后者嘲笑他们虽买了新车，却连放双手骑都不会，丢人现眼。双胞胎受了刺激，为战胜康康，开始勤学苦练，但好静的凯文渐渐力不从心，放弃了练习。凯武刻苦训练并最终取得了胜利。这份对凯武独有的称赞让凯文难堪，他暗下决心也要学会放手骑车，但始终没有学会……,童年/儿童/方言/记忆/江西/兄弟情/回忆/剧情,2019,True
30206282,马耳“她”,马耳他制造,格雷格·奥迪诺/艾妮安娜·卡布罗尔,,0.0,剧情/爱情/冒险,英语,80,澳大利亚 / 马耳他,一位美国导演带着自己第一部长片来到了马耳他，遇见了五年前分手的西班牙女友。还相互爱着对方的两个人一边游览马耳他的美丽风光，一边为着不确定的恋人关系而苦恼……,澳大利亚/马耳他/爱情/M马耳他/2019/电影/剧情/不看,2019,True
30243285,灼人秘密,妮娜,吴可熙/宋芸桦/夏于乔/施名帅/黄尚禾/张立昂/王琄/汤志伟/谢盈萱/郑人硕/李李仁,赵德胤,5.8,剧情,汉语普通话,103,中国台湾 / 德国 / 马来西亚 / 缅甸,赵德胤第5部剧情长片《灼人秘密》获得台湾文化部辅导金新台币1200万元补助，谬思演员吴可熙同时身兼演员与编剧，电影也首次告别缅甸，于2018年11月26日杀青。,台湾/赵德胤/2019/台湾电影/吴可熙/悬疑/戛纳/宋芸桦,2019,True
30262218,法官大人！,,,,0.0,剧情/喜剧/惊悚,爱沙尼亚语 / 芬兰语 / 瑞典语,96,爱沙尼亚 / 俄罗斯,法官（梅特马尔姆斯滕）是一个在法庭上代表严格规则和法律的人。然而，他的个人生活却一团糟。在法官决定对一名妇女判处长期监禁后，该妇女的弟弟（M_rt Avandi）开始跟随法官希望能改变对判决的看法。但是法官保持坚定不移，判决是终局的。两人之间发生了一系列冲突，导致法官本人突然成为罪犯。由于无法承认自己的罪行，法官逃到芬兰，在芬兰，一系列的喜剧曲折将他引向一些奇怪的人和滑稽的场景。然而，他黑暗行为的阴影一直困扰着他。为了抛开他的黑暗罪行并解决他早先的决定，法官回到了家。”《荣誉》是一部充满黑色幽默的公路电影，主演是梅特马尔姆斯滕（Mait Malmsten）（“爱是盲目的”、“拉特拉普”）和M_特阿凡迪（M_特阿凡迪）（“击剑手”、“红色水银”）。这部电影由安德烈斯普图斯马执导和创作（“绿猫”，“18-14”，“红色水银”）。这部电影由利奥制作，由Acme电影公司发行。,黑色幽默/黑白/爱沙尼亚/犯罪/北欧/2019SIFF/愛沙尼亞/待下,2019,True
30204527,黄蜂网络,,安娜·德·阿玛斯/佩内洛普·克鲁兹/亚德里亚·霍纳/埃德加·拉米雷兹/瓦格纳·马拉/盖尔·加西亚·贝纳尔/莱昂纳多·斯巴拉格利亚,奥利维耶·阿萨亚斯,0.0,惊悚,英语 / 西班牙语,123,法国 / 西班牙 / 比利时 / 巴西,影片根据费尔南德·莫莱斯所著《冷战最后一批士兵：古巴五人组的故事》(The Last Soldiers of the Cold War: The Story of the Cuban Five，暂译)改编，书中内容涉及14名古巴间谍最终被美国当局发现并起诉，其中五名古巴人因间谍罪和谋杀罪被判入狱。,奥利维耶·阿萨亚斯/2019/佩内洛普·克鲁兹/惊悚/盖尔·加西亚·贝纳尔/安娜·德·阿玛斯/剧情/美国,2019,True
30241102,行骗天下 剧场版,信用欺诈师JP:香港浪漫篇(港) / 行骗天下 电影版 / 行骗天下JP / コンフィデンスマンJP -ロマンス編-,长泽雅美/东出昌大/小日向文世/竹内结子/三浦春马/江口洋介/小手伸也/织田梨沙/小栗旬,田中亮,8.5,喜剧/悬疑,日语,116,日本,长泽雅美、东出昌大、小日向文世等主演的剧集《行骗天下JP》将被打造为同名电影。剧集围绕三名欺诈师在金融、房地产、艺术、美容等各行业欺诈巨款的故事展开。长泽雅美、东出昌大、小日向文世将回归。,长泽雅美/日本/喜剧/日本电影/長澤まさみ/2019/东出昌大/小日向文世,2019,True
30371824,后街女孩,后街女孩 电影版,白洲迅/柾木玲弥/花泽将人/冈本夏美/松田流花/坂之上茜/大杉涟/菅谷哲也/浅川梨奈/秋山莉奈/高嶋香帆/小泽仁志/樱田通,原桂之介,6.5,剧情,日语,88,日本,Jasmine Gyuh漫画作品《后街女孩(Back Street Girls )》，继先前推出改编动画后，官方宣布改编真人版电影的消息。,日本/喜剧/漫画改编/2019/漫画小说真人版/搞笑/动作/沙雕,2019,True
26756220,外出偷马,,斯特兰·斯卡斯加德/托拜厄斯·桑特尔曼/达妮卡· 库尔西奇/帕尔·斯维尔·哈根/安德斯·巴斯莫·克里斯蒂安森/比约恩·弗洛伯格,汉斯·皮特·莫朗,0.0,剧情,挪威语,122,挪威 / 瑞典 / 丹麦,该片讲述在1999年的冬天，67岁的特罗德发现自己的邻居是他在1948年时认识的一个人，两人的见面勾起了当时的回忆，其中也包括特罗德父亲的失踪。,挪威/2019/柏林电影节/瑞典/丹麦/第69届柏林电影节/剧情/文学作品改编,2019,True
30391297,密林诡影,,陈国良/肖红/吴美佳/蔡思宜/张沅玖,苗述,0.0,动作/悬疑/惊悚,汉语普通话,84,中国大陆,陕西秦岭，传闻秦汉之际秦始皇的公子扶苏曾命绝于此。这一日，干导游工作的唐曾带着女友晨曦和朋友汤小唯回家乡游玩。在长途车上，他们邂逅了自称从事环境保护研究的罗平和麦家琪，热情好客的唐曾答应为他们担任导游。 这次旅程似乎注定充满不安。村中的老人告诫这几个年轻人适逢红煞日，千万不能进入林中，尤其是曾留下可怕传说的将死崮。然而阴差阳错，五个年轻人闯入了将死崮，虽然有惊无险走了出来，可是厄运似乎已悄然拉开帷幕。,烂片/国产/惊悚/盗墓/大陆/2019/悬疑/冒险,2019,True
27087784,恶霸警察,恶质警察,李善均/全素妮/朴海俊/宋永彰/朴秉恩/金敏载/郑家蓝/尹亨国,李桢凡,6.6,剧情/犯罪,韩语,127,韩国,为了躲避穷追不舍的内务探员，腐败的员警勉为其难地和叛逆青少女联手，企图在为时已晚前揭开阴谋。,犯罪/韩国/动作/社会/2019/剧情/小人物/人性,2019,True
27168753,怎么就结婚了,不知怎么就结婚了,金东旭/高圣熙,朴浩赞/朴秀真,4.6,喜剧/爱情,韩语,87,韩国,该片讲述为了获得自由而计划结婚的航空公司老板二代“成硕”(金东旭 饰)和为了寻找自己的人生而选择结婚的前田径队员“海珠”(高圣熙 饰)，为了达成彼此的目的假装结婚而发生的故事。,韩国/韩国电影/喜剧/2019/爱情/金东旭/高胜熙/电影,2019,True
