movieId,title,genres
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
2,Jumanji (1995),Adventure|Children|Fantasy
3,Grumpier Old Men (1995),Comedy|Romance
4,Waiting to Exhale (1995),Comedy|Drama|Romance
5,Father of the Bride Part II (1995),Comedy
6,Heat (1995),Action|Crime|Thriller
7,Sabrina (1995),Comedy|Romance
8,Tom and Huck (1995),Adventure|Children
10,GoldenEye (1995),Action|Adventure|Thriller
11,"American President, The (1995)",Comedy|Drama|Romance
13,Balto (1995),Adventure|Animation|Children
15,Cutthroat Island (1995),Action|Adventure|Romance
16,Casino (1995),Crime|Drama
17,Sense and Sensibility (1995),Drama|Romance
19,Ace Ventura: When Nature Calls (1995),Comedy
21,Get Shorty (1995),Comedy|Crime|Thriller
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
24,Powder (1995),Drama|Sci-Fi
25,Leaving Las Vegas (1995),Drama|Romance
26,Othello (1995),Drama
27,Now and Then (1995),Children|Drama
31,Dangerous Minds (1995),Drama
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
34,Babe (1995),Children|Drama
36,Dead Man Walking (1995),Crime|Drama
39,Clueless (1995),Comedy|Romance
41,Richard III (1995),Drama|War
43,Restoration (1995),Drama
45,To Die For (1995),Comedy|Drama|Thriller
46,How to Make an American Quilt (1995),Drama|Romance
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
52,Mighty Aphrodite (1995),Comedy|Drama|Romance
54,"Big Green, The (1995)",Children|Comedy
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
61,Eye for an Eye (1996),Drama|Thriller
62,Mr. Holland's Opus (1995),Drama
65,Bio-Dome (1996),Comedy
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
76,Screamers (1995),Action|Sci-Fi|Thriller
79,"Juror, The (1996)",Drama|Thriller
86,White Squall (1996),Action|Adventure|Drama
87,Dunston Checks In (1996),Children|Comedy
88,Black Sheep (1996),Comedy
89,Nick of Time (1995),Action|Thriller
92,Mary Reilly (1996),Drama|Horror|Thriller
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance
95,Broken Arrow (1996),Action|Adventure|Thriller
100,City Hall (1996),Drama|Thriller
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
102,Mr. Wrong (1996),Comedy
104,Happy Gilmore (1996),Comedy
105,"Bridges of Madison County, The (1995)",Drama|Romance
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama
110,Braveheart (1995),Action|Drama|War
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
113,Before and After (1996),Drama|Mystery
125,Flirting With Disaster (1996),Comedy
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy
135,Down Periscope (1996),Comedy
140,Up Close and Personal (1996),Drama|Romance
141,"Birdcage, The (1996)",Comedy
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
146,"Amazing Panda Adventure, The (1995)",Adventure|Children
150,Apollo 13 (1995),Adventure|Drama|IMAX
151,Rob Roy (1995),Action|Drama|Romance|War
153,Batman Forever (1995),Action|Adventure|Comedy|Crime
157,Canadian Bacon (1995),Comedy|War
158,Casper (1995),Adventure|Children
159,Clockers (1995),Crime|Drama|Mystery
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi
161,Crimson Tide (1995),Drama|Thriller|War
162,Crumb (1994),Documentary
163,Desperado (1995),Action|Romance|Western
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
168,First Knight (1995),Action|Drama|Romance
170,Hackers (1995),Action|Adventure|Crime|Thriller
171,Jeffrey (1995),Comedy|Drama
174,Jury Duty (1995),Comedy
176,Living in Oblivion (1995),Comedy
177,Lord of Illusions (1995),Horror
179,Mad Love (1995),Drama|Romance
180,Mallrats (1995),Comedy|Romance
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children
185,"Net, The (1995)",Action|Crime|Thriller
186,Nine Months (1995),Comedy|Romance
189,Reckless (1995),Comedy|Fantasy
190,Safe (1995),Thriller
191,"Scarlet Letter, The (1995)",Drama|Romance
195,Something to Talk About (1995),Comedy|Drama|Romance
196,Species (1995),Horror|Sci-Fi
201,Three Wishes (1995),Drama|Fantasy
204,Under Siege 2: Dark Territory (1995),Action
205,Unstrung Heroes (1995),Comedy|Drama
207,"Walk in the Clouds, A (1995)",Drama|Romance
208,Waterworld (1995),Action|Adventure|Sci-Fi
209,White Man's Burden (1995),Drama
210,Wild Bill (1995),Western
212,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery
215,Before Sunrise (1995),Drama|Romance
216,Billy Madison (1995),Comedy
217,"Babysitter, The (1995)",Drama|Thriller
218,Boys on the Side (1995),Comedy|Drama
219,"Cure, The (1995)",Drama
222,Circle of Friends (1995),Drama|Romance
223,Clerks (1994),Comedy
224,Don Juan DeMarco (1995),Comedy|Drama|Romance
225,Disclosure (1994),Drama|Thriller
230,Dolores Claiborne (1995),Drama|Thriller
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance
234,Exit to Eden (1994),Comedy
235,Ed Wood (1994),Comedy|Drama
236,French Kiss (1995),Action|Comedy|Romance
237,Forget Paris (1995),Comedy|Romance
239,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance
240,Hideaway (1995),Thriller
243,Gordy (1995),Children|Comedy|Fantasy
247,Heavenly Creatures (1994),Crime|Drama
248,Houseguest (1994),Comedy
250,Heavyweights (Heavy Weights) (1995),Children|Comedy
251,"Hunted, The (1995)",Action
252,I.Q. (1994),Comedy|Romance
253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
254,Jefferson in Paris (1995),Drama
256,Junior (1994),Comedy|Sci-Fi
257,Just Cause (1995),Mystery|Thriller
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
261,Little Women (1994),Drama
262,"Little Princess, A (1995)",Children|Drama
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance
266,Legends of the Fall (1994),Drama|Romance|War|Western
267,Major Payne (1995),Comedy
270,Love Affair (1994),Drama|Romance
271,Losing Isaiah (1995),Drama
273,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi
274,Man of the House (1995),Comedy
276,Milk Money (1994),Comedy|Romance
277,Miracle on 34th Street (1994),Drama
279,My Family (1995),Drama
281,Nobody's Fool (1994),Comedy|Drama|Romance
282,Nell (1994),Drama
288,Natural Born Killers (1994),Action|Crime|Thriller
289,Only You (1994),Comedy|Romance
290,Once Were Warriors (1994),Crime|Drama
291,Poison Ivy II (1996),Drama|Thriller
292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
300,Quiz Show (1994),Drama
302,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance
303,"Quick and the Dead, The (1995)",Action|Thriller|Western
304,Roommates (1995),Comedy|Drama
310,Rent-a-Kid (1995),Comedy
312,Stuart Saves His Family (1995),Comedy
313,"Swan Princess, The (1994)",Animation|Children
314,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery
315,"Specialist, The (1994)",Action|Drama|Thriller
316,Stargate (1994),Action|Adventure|Sci-Fi
317,"Santa Clause, The (1994)",Comedy|Drama|Fantasy
318,"Shawshank Redemption, The (1994)",Crime|Drama
319,Shallow Grave (1994),Comedy|Drama|Thriller
327,Tank Girl (1995),Action|Comedy|Sci-Fi
329,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
330,Tales from the Hood (1995),Action|Crime|Horror
332,Village of the Damned (1995),Horror|Sci-Fi
333,Tommy Boy (1995),Comedy
336,"Walking Dead, The (1995)",Drama|War
337,What's Eating Gilbert Grape (1993),Drama
339,While You Were Sleeping (1995),Comedy|Romance
340,"War, The (1994)",Adventure|Drama|War
342,Muriel's Wedding (1994),Comedy
343,"Baby-Sitters Club, The (1995)",Children
344,Ace Ventura: Pet Detective (1994),Comedy
345,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama
347,Bitter Moon (1992),Drama|Film-Noir|Romance
348,Bullets Over Broadway (1994),Comedy
349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
350,"Client, The (1994)",Drama|Mystery|Thriller
351,"Corrina, Corrina (1994)",Comedy|Drama|Romance
352,Crooklyn (1994),Comedy|Drama
353,"Crow, The (1994)",Action|Crime|Fantasy|Thriller
354,Cobb (1994),Drama
355,"Flintstones, The (1994)",Children|Comedy|Fantasy
356,Forrest Gump (1994),Comedy|Drama|Romance|War
357,Four Weddings and a Funeral (1994),Comedy|Romance
358,Higher Learning (1995),Drama
359,I Like It Like That (1994),Comedy|Drama|Romance
360,I Love Trouble (1994),Action|Comedy
361,It Could Happen to You (1994),Comedy|Drama|Romance
362,"Jungle Book, The (1994)",Adventure|Children|Romance
364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama|Horror|Mystery|Thriller
367,"Mask, The (1994)",Action|Comedy|Crime|Fantasy
368,Maverick (1994),Adventure|Comedy|Western
370,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy
371,"Paper, The (1994)",Comedy|Drama
374,Richie Rich (1994),Children|Comedy
377,Speed (1994),Action|Romance|Thriller
378,Speechless (1994),Comedy|Romance
380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
381,When a Man Loves a Woman (1994),Drama|Romance
382,Wolf (1994),Drama|Horror|Romance|Thriller
383,Wyatt Earp (1994),Western
405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantasy
410,Addams Family Values (1993),Children|Comedy|Fantasy
412,"Age of Innocence, The (1993)",Drama
415,Another Stakeout (1993),Comedy|Thriller
416,Bad Girls (1994),Western
417,Barcelona (1994),Comedy|Romance
419,"Beverly Hillbillies, The (1993)",Comedy
423,Blown Away (1994),Action|Thriller
426,Body Snatchers (1993),Horror|Sci-Fi|Thriller
432,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western
434,Cliffhanger (1993),Action|Adventure|Thriller
435,Coneheads (1993),Comedy|Sci-Fi
437,Cops and Robbersons (1994),Comedy
440,Dave (1993),Comedy|Romance
441,Dazed and Confused (1993),Comedy
445,Fatal Instinct (1993),Comedy
450,With Honors (1994),Comedy|Drama
454,"Firm, The (1993)",Drama|Thriller
455,Free Willy (1993),Adventure|Children|Drama
457,"Fugitive, The (1993)",Thriller
458,Geronimo: An American Legend (1993),Drama|Western
460,Getting Even with Dad (1994),Comedy
466,Hot Shots! Part Deux (1993),Action|Comedy|War
468,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",Comedy|Romance
469,"House of the Spirits, The (1993)",Drama|Romance
472,I'll Do Anything (1994),Comedy|Drama
474,In the Line of Fire (1993),Action|Thriller
475,In the Name of the Father (1993),Drama
477,What's Love Got to Do with It? (1993),Drama|Musical
480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
485,Last Action Hero (1993),Action|Adventure|Comedy|Fantasy
489,Made in America (1993),Comedy
490,Malice (1993),Thriller
491,"Man Without a Face, The (1993)",Drama
492,Manhattan Murder Mystery (1993),Comedy|Mystery
493,Menace II Society (1993),Action|Crime|Drama
494,Executive Decision (1996),Action|Adventure|Thriller
497,Much Ado About Nothing (1993),Comedy|Romance
500,Mrs. Doubtfire (1993),Comedy|Drama
502,"Next Karate Kid, The (1994)",Action|Children|Romance
505,North (1994),Comedy
508,Philadelphia (1993),Drama
509,"Piano, The (1993)",Drama|Romance
510,Poetic Justice (1993),Drama
515,"Remains of the Day, The (1993)",Drama|Romance
516,Renaissance Man (1994),Comedy|Drama
520,Robin Hood: Men in Tights (1993),Comedy
524,Rudy (1993),Drama
527,Schindler's List (1993),Drama|War
531,"Secret Garden, The (1993)",Children|Drama
532,Serial Mom (1994),Comedy|Crime|Horror
534,Shadowlands (1993),Drama|Romance
536,"Simple Twist of Fate, A (1994)",Drama
537,Sirens (1994),Drama
538,Six Degrees of Separation (1993),Drama
539,Sleepless in Seattle (1993),Comedy|Drama|Romance
540,Sliver (1993),Thriller
542,Son in Law (1993),Comedy|Drama|Romance
543,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller
546,Super Mario Bros. (1993),Action|Adventure|Children|Comedy|Fantasy|Sci-Fi
548,Terminal Velocity (1994),Action|Mystery|Thriller
552,"Three Musketeers, The (1993)",Action|Adventure|Comedy|Romance
553,Tombstone (1993),Action|Drama|Western
569,Little Big League (1994),Comedy|Drama
575,"Little Rascals, The (1994)",Children|Comedy
587,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller
588,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical
589,Terminator 2: Judgment Day (1991),Action|Sci-Fi
590,Dances with Wolves (1990),Adventure|Drama|Western
592,Batman (1989),Action|Crime|Thriller
593,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
594,Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical
595,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX
